what,kind,bundleId,bundleVersion,description,time
started,bundle,org.polarion.eclipse.team.svn.connector.javahl16,2.2.2.I20110318-1700,org.polarion.eclipse.team.svn.connector.javahl16,1340844828930
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit15,2.2.2.I20110318-1700,org.polarion.eclipse.team.svn.connector.svnkit15,1340844828930
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110318-1700,org.polarion.eclipse.team.svn.connector.svnkit16,1340844828930
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1340844841627
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1340844872531
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1340844879169
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1340844880740
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1340844883037
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1340844883340
started,bundle,org.eclipse.core.filesystem,1.2.0.v20080604-1400,org.eclipse.core.filesystem,1340844883567
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1340844884105
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1340844884239
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1340844884338
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1340844884339
stopped,bundle,org.maven.ide.eclipse.launching,0.12.0.20101115-1102,org.maven.ide.eclipse.launching,1340844884474
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1340844884475
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1340844884477
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1340844884654
stopped,bundle,net.sf.commonclipse,1.3,net.sf.commonclipse,1340844884654
stopped,bundle,org.maven.ide.eclipse.jdt,0.12.0.20101115-1102,org.maven.ide.eclipse.jdt,1340844884655
stopped,bundle,org.maven.ide.eclipse.refactoring,0.12.0.20101115-1102,org.maven.ide.eclipse.refactoring,1340844884920
stopped,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1340844884920
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1340844885169
